이름,주소
신세계백화점 본점,서울특별시 중구 소공로 63 신세계백화점 본점
신세계백화점 강남점,서울특별시 서초구 신반포로 176
신세계백화점 영등포점,서울특별시 영등포구 영중로 9 신세계백화점
현대백화점 디큐브시티점,서울특별시 구로구 경인로 662
현대백화점 무역센터점,서울특별시 강남구 테헤란로 517 현대백화점무역센터점
현대백화점 천호점,서울특별시 강동구 천호대로 1005 현대백화점천호점
현대백화점 목동점,서울특별시 양천구 목동동로 257 현대백화점목동점
현대백화점 신촌점,서울특별시 서대문구 신촌로 83 현대백화점신촌점
현대백화점 압구정본점,서울특별시 강남구 압구정로 165 현대백화점압구정본점
현대백화점 유플렉스 신촌점,서울특별시 서대문구 연세로 13 현대백화점 유플렉스
현대백화점 미아점,서울특별시 성북구 동소문로 315 현대백화점미아점
갤러리아백화점 명품관,서울특별시 강남구 압구정로 343 갤러리아
갤러리아면세점63,서울특별시 영등포구 63로 50 63한화생명빌딩
괌 DFS갤러리아,서울특별시 중구 남대문로7길 19 삼영빌딩
엔터식스 왕십리역점,서울특별시 성동구 왕십리광장로 17
파크에비뉴 엔터식스 한양대점,서울특별시 성동구 왕십리로 241 서울숲 더샵
엔터식스 강변테크노점,서울특별시 광진구 광나루로56길 85
엔터식스 강남점,서울특별시 서초구 신반포로 188 지하1층 엔터식스 강남점
엔터식스 상봉점,서울특별시 중랑구 망우로 353 상봉 프레미어스 엠코
엔터식스 천호역점,서울특별시 강동구 천호대로 997 천호역
롯데백화점 잠실점,서울특별시 송파구 올림픽로 240 롯데백화점잠실점
롯데백화점 영등포점,서울특별시 영등포구 경인로 846
롯데백화점 강남점,서울특별시 강남구 도곡로 401 롯데백화점
롯데백화점 본점,서울특별시 중구 을지로 30
롯데백화점 스타시티점,서울특별시 광진구 능동로 92
롯데백화점 노원점,서울특별시 노원구 동일로 1414 롯데백화점 노원점
롯데백화점 청량리점,서울특별시 동대문구 왕산로 214
롯데백화점 관악점 ,서울특별시 관악구 봉천로 209 롯데백화점 관악점
롯데백화점 미아점,서울특별시 강북구 도봉로 62 롯데백화점 미아점
롯데백화점 김포공항점,서울특별시 강서구 하늘길 77 롯데백화점김포공항점
NC백화점 강서점,서울특별시 강서구 강서로56길 17 NC백화점강서점
NC백화점 불광점,서울특별시 은평구 불광로 20 NC백화점불광점
NC백화점 송파점,서울특별시 송파구 충민로 66 가든파이브라이프
아이파크몰,서울특별시 용산구 한강대로23길 55
스타필드 코엑스몰,서울특별시 강남구 봉은사로 524